date,trading_code,last_traded_price,high,low,opening_price,closing_price,yesterdays_closing_price,trade,value_mn,volume
11/15/2010 0:00,1JANATAMF,10.1,10.2,10,10,10.1,10.1,493,6.916,684000
,,,,,,,,,,
11/14/2010 0:00,1JANATAMF,10.2,10.3,10,10.3,10.1,10.1,412,5.0216,498500
,,,,,,,,,,
11/11/2010 0:00,1JANATAMF,10.2,10.3,10,10.1,10.1,10.1,467,4.6853,463000
,,,,,,,,,,
11/10/2010 0:00,1JANATAMF,10.2,10.4,10.1,10.1,10.1,10.1,549,7.1869,709000
,,,,,,,,,,
11/9/2010 0:00,1JANATAMF,10.1,10.5,10,10.3,10.1,10.3,786,9.2489,901500
,,,,,,,,,,
11/8/2010 0:00,1JANATAMF,10.4,10.6,10.3,10.4,10.3,10.5,568,7.0133,675000
,,,,,,,,,,
11/7/2010 0:00,1JANATAMF,10.5,11.1,10.4,11,10.5,10.9,637,6.8299,641000
,,,,,,,,,,
11/4/2010 0:00,1JANATAMF,10.9,12,10.6,10.6,10.9,10.3,1462,16.8908,1538500
,,,,,,,,,,
11/3/2010 0:00,1JANATAMF,10.3,10.5,10.3,10.4,10.3,10.4,721,8.3907,809500
,,,,,,,,,,
11/2/2010 0:00,1JANATAMF,10.5,10.7,10.3,10.7,10.4,10.5,832,8.2461,788500
,,,,,,,,,,
11/1/2010 0:00,1JANATAMF,10.5,10.8,10.4,10.6,10.5,10.5,927,8.4095,794000
,,,,,,,,,,
11/1/2010 0:00,1JANATAMF,10.5,10.8,10.4,10.6,10.5,10.5,927,8.4095,794000
,,,,,,,,,,
10/31/2010 0:00,1JANATAMF,10.7,10.9,10.5,10.6,10.5,10.6,813,8.5429,802500
,,,,,,,,,,
10/31/2010 0:00,1JANATAMF,10.7,10.9,10.5,10.6,10.5,10.6,813,8.5429,802500
,,,,,,,,,,
10/28/2010 0:00,1JANATAMF,10.7,11,10.5,10.6,10.6,10.7,728,7.19,672000
,,,,,,,,,,
10/27/2010 0:00,1JANATAMF,10.8,11,10.6,10.9,10.7,10.9,879,8.8257,816500
,,,,,,,,,,
10/26/2010 0:00,1JANATAMF,11,11.2,10.8,11.2,10.9,11,958,9.5382,866500
,,,,,,,,,,
10/25/2010 0:00,1JANATAMF,11.2,11.3,11,11.1,11,11.1,1155,10.4445,942000
,,,,,,,,,,
10/24/2010 0:00,1JANATAMF,11.2,11.4,11.1,11.2,11.1,11.2,1155,9.7289,869000
,,,,,,,,,,
10/21/2010 0:00,1JANATAMF,11.4,11.5,11.2,11.5,11.2,11.4,1167,8.712,771500
,,,,,,,,,,
10/20/2010 0:00,1JANATAMF,11.4,11.5,11.3,11.4,11.4,11.4,1474,10.1583,893000
,,,,,,,,,,
10/19/2010 0:00,1JANATAMF,11.4,11.7,11.4,11.6,11.4,11.6,2103,17.9277,1557000
,,,,,,,,,,
10/18/2010 0:00,1JANATAMF,11.7,12.2,11.6,11.6,11.6,11.7,2535,19.0389,1613500
,,,,,,,,,,
10/14/2010 0:00,1JANATAMF,11.9,12,11.6,11.6,11.7,11.7,2009,15.9381,1356500
,,,,,,,,,,
10/13/2010 0:00,1JANATAMF,11.8,11.9,11.5,11.6,11.7,11.6,1778,14.9477,1275500
,,,,,,,,,,
10/12/2010 0:00,1JANATAMF,11.7,11.9,11.6,11.7,11.6,11.7,1188,9.0119,772500
,,,,,,,,,,
10/11/2010 0:00,1JANATAMF,11.8,11.9,11.6,11.7,11.7,11.7,1314,10.6554,910500
,,,,,,,,,,
10/10/2010 0:00,1JANATAMF,11.9,12,11.7,11.7,11.7,11.9,1275,11.7312,996500
,,,,,,,,,,
10/7/2010 0:00,1JANATAMF,12,12.4,11.7,12.2,11.9,12.4,1334,12.9141,1081500
,,,,,,,,,,
10/6/2010 0:00,1JANATAMF,12.5,13,12.2,12.6,12.4,12.2,2510,24.0211,1925500
,,,,,,,,,,
10/5/2010 0:00,1JANATAMF,12.4,12.7,11.6,11.8,12.2,11.8,1806,16.413,1354500
,,,,,,,,,,
10/4/2010 0:00,1JANATAMF,11.8,12,11.7,12,11.8,11.8,1178,10.414,882500
,,,,,,,,,,
10/3/2010 0:00,1JANATAMF,12,12.5,11.8,12.4,11.8,12.1,1633,14.1518,1189500
,,,,,,,,,,
9/30/2010 0:00,1JANATAMF,12.1,12.4,12.1,12.1,12.1,12.3,1242,9.6272,791500
,,,,,,,,,,
9/29/2010 0:00,1JANATAMF,12.4,12.6,11.5,12.5,12.3,12.5,1415,13.8585,1130500
,,,,,,,,,,
9/28/2010 0:00,1JANATAMF,12.6,12.8,12.5,12.6,12.5,12.6,1655,16.2394,1293500
,,,,,,,,,,
9/27/2010 0:00,1JANATAMF,12.7,13,12.6,12.7,12.6,12.8,1885,16.9203,1332000
,,,,,,,,,,
9/26/2010 0:00,1JANATAMF,12.8,13.2,12.8,13,12.8,13,2455,20.7358,1608500
,,,,,,,,,,
9/23/2010 0:00,1JANATAMF,13.1,13.4,13,13.3,13,13,3350,30.4655,2329000
,,,,,,,,,,
9/22/2010 0:00,1JANATAMF,13.3,13.4,12.9,13,13,12.9,3977,36.0565,2765500
,,,,,,,,,,
9/21/2010 0:00,1JANATAMF,13.1,13.2,12.7,12.8,12.9,12.6,4793,42.9774,3327500
,,,,,,,,,,
9/20/2010 0:00,1JANATAMF,12.8,13.1,12.5,13,12.6,10,13148,131.6608,10323500
12/29/2011 0:00,1JANATAMF,9,9,8.6,8.6,8.9,8.8,305,12.2408,1364500
,,,,,,,,,,
12/28/2011 0:00,1JANATAMF,8.9,8.9,8.5,8.6,8.8,8.8,310,12.2788,1388000
,,,,,,,,,,
12/27/2011 0:00,1JANATAMF,8.7,8.9,8.7,8.8,8.8,8.9,258,8.1166,916000
,,,,,,,,,,
12/26/2011 0:00,1JANATAMF,9,9.1,8.6,8.7,8.9,8.9,433,7.4759,838500
,,,,,,,,,,
12/22/2011 0:00,1JANATAMF,8.8,9.3,8.5,9,8.9,8.7,446,18.1195,2034500
,,,,,,,,,,
12/21/2011 0:00,1JANATAMF,8.8,9,8.2,8.2,8.7,8.4,625,15.0153,1719500
,,,,,,,,,,
12/20/2011 0:00,1JANATAMF,8.6,8.6,7.9,8.2,8.4,8.3,457,15.4647,1841500
,,,,,,,,,,
12/19/2011 0:00,1JANATAMF,8.4,8.5,7.7,8.1,8.3,8,530,13.9694,1704000
,,,,,,,,,,
12/18/2011 0:00,1JANATAMF,8.1,8.2,7.4,7.5,8,7.8,447,12.7333,1604000
,,,,,,,,,,
12/15/2011 0:00,1JANATAMF,7.9,7.9,7.3,7.4,7.8,7.3,634,12.9558,1689000
,,,,,,,,,,
12/14/2011 0:00,1JANATAMF,7.5,7.5,7.1,7.1,7.3,7.1,358,6.4678,884000
,,,,,,,,,,
12/13/2011 0:00,1JANATAMF,7.2,7.2,6.9,7,7.1,7,82,0.9691,136500
,,,,,,,,,,
12/12/2011 0:00,1JANATAMF,7.1,7.1,6.9,6.9,7,6.9,56,0.5566,79500
,,,,,,,,,,
12/11/2011 0:00,1JANATAMF,7,7,6.9,7,6.9,7,76,0.7499,107500
,,,,,,,,,,
12/8/2011 0:00,1JANATAMF,7,7.2,7,7.1,7,7.1,60,0.4724,66500
,,,,,,,,,,
12/7/2011 0:00,1JANATAMF,7.1,7.2,7,7.1,7.1,7.1,94,1.2983,184000
,,,,,,,,,,
12/5/2011 0:00,1JANATAMF,7.2,7.2,7.1,7.2,7.1,7.2,91,1.1012,154500
,,,,,,,,,,
11/30/2011 0:00,1JANATAMF,7.4,7.4,7.2,7.2,7.3,7.2,73,0.8681,118500
